PLZ Katalog Schweiz;;;;;
Land;Kanton;PLZ;Zusatzziffer;Gemeinde;Ort
Schweiz;BE;3293;0;Dotzigen;Dotzigen
Schweiz;BE;2543;0;Lengnau (BE);Lengnau BE
Schweiz;BE;3297;0;Leuzigen;Leuzigen
Schweiz;BE;3294;2;Meienried;Meienried
Schweiz;BE;2554;0;Meinisberg;Meinisberg
Schweiz;BE;3298;0;Oberwil bei Büren;Oberwil b. Büren
Schweiz;BE;2542;0;Pieterlen;Pieterlen
Schweiz;BE;3295;0;Rüti bei Büren;Rüti b. Büren
Schweiz;BE;3251;0;Wengi;Wengi b. Büren
Schweiz;BE;3426;0;Aefligen;Aefligen
Schweiz;BE;3473;0;Alchenstorf;Alchenstorf
Schweiz;BE;3323;0;Bäriswil;Bäriswil BE
Schweiz;BE;3400;0;Burgdorf;Burgdorf
Schweiz;BE;3423;0;Ersigen;Ersigen
Schweiz;BE;3424;0;Ersigen;Niederösch
Schweiz;BE;3424;2;Ersigen;Oberösch
Schweiz;BE;3415;1;Hasle bei Burgdorf;Hasle b. Burgdorf
Schweiz;BE;3415;2;Hasle bei Burgdorf;Schafhausen im Emmental
Schweiz;BE;3419;0;Hasle bei Burgdorf;Biembach im Emmental
Schweiz;BE;3412;0;Heimiswil;Heimiswil
Schweiz;BE;3413;0;Heimiswil;Kaltacker
Schweiz;BE;3429;3;Hellsau;Hellsau
Schweiz;BE;3324;0;Hindelbank;Hindelbank
Schweiz;BE;3429;2;Höchstetten;Höchstetten
Schweiz;BE;3309;0;Kernenried;Kernenried
Schweiz;BE;3422;0;Kirchberg (BE);Kirchberg BE
Schweiz;BE;3425;0;Koppigen;Koppigen
Schweiz;BE;3325;0;Krauchthal;Hettiswil b. Hindelbank
Schweiz;BE;3326;0;Krauchthal;Krauchthal
Schweiz;BE;3421;0;Lyssach;Lyssach
Schweiz;BE;3324;2;Mötschwil;Mötschwil
Schweiz;BE;3414;0;Oberburg;Oberburg
Schweiz;BE;3421;0;Oberburg;Lyssach
Schweiz;BE;3422;1;Rüdtligen-Alchenflüh;Rüdtligen
Schweiz;BE;3422;2;Rüdtligen-Alchenflüh;Alchenflüh
Schweiz;BE;3472;2;Rumendingen;Rumendingen
Schweiz;BE;3421;2;Rüti bei Lyssach;Rüti b. Lyssach
Schweiz;BE;3425;2;Willadingen;Willadingen
Schweiz;BE;3472;0;Wynigen;Wynigen
Schweiz;BE;3474;0;Wynigen;Rüedisbach
Schweiz;BE;2606;0;Corgémont;Corgémont
Schweiz;BE;2610;4;Cormoret;Mont-Crosin
Schweiz;BE;2612;0;Cormoret;Cormoret
Schweiz;BE;2607;0;Cortébert;Cortébert
Schweiz;BE;2608;2;Cortébert;Montagne-de-Courtelary
Schweiz;BE;2608;0;Courtelary;Courtelary
Schweiz;BE;2333;0;La Ferrière;La Ferrière
Schweiz;BE;2723;0;Mont-Tramelan;Mont-Tramelan
Schweiz;BE;2534;0;Orvin;Orvin
Schweiz;BE;2534;2;Orvin;Les Prés-d'Orvin
Schweiz;BE;2616;0;Renan (BE);Renan BE
Schweiz;BE;2538;0;Romont (BE);Romont BE
Schweiz;BE;2345;2;Saint-Imier;Le Cerneux-Veusil
Schweiz;BE;2610;0;Saint-Imier;St-Imier
Schweiz;BE;2610;2;Saint-Imier;Mont-Soleil
Schweiz;BE;2610;3;Saint-Imier;Les Pontins
Schweiz;BE;2605;0;Sonceboz-Sombeval;Sonceboz-Sombeval
Schweiz;BE;2615;0;Sonvilier;Sonvilier
Schweiz;BE;2615;2;Sonvilier;Montagne-de-Sonvilier
Schweiz;BE;2720;0;Tramelan;Tramelan
Schweiz;BE;2722;0;Tramelan;Les Reussilles
Schweiz;BE;2613;0;Villeret;Villeret
Schweiz;BE;2535;0;Sauge;Frinvillier
Schweiz;BE;2536;0;Sauge;Plagne
Schweiz;BE;2537;0;Sauge;Vauffelin
Schweiz;BE;2603;0;Péry-La Heutte;Péry
Schweiz;BE;2604;0;Péry-La Heutte;La Heutte
